123	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae	Pseudomonas phage LBL3
15	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae	Tevenvirinae	T4virus	Escherichia phage ime09
15	Viruses	dsDNA viruses, no RNA stage	Baculoviridae	Alphabaculovirus	unclassified Alphabaculovirus	Peridroma alphabaculovirus
7	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Staphylococcus phage PVL
4	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Podoviridae	Autographivirinae	Xylella phage Prado
23	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae	Bxz1virus	Mycobacterium phage Pleione
20	Viruses	dsDNA viruses, no RNA stage	unclassified dsDNA phages	Vibrio phage pYD38-A
35	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	D3virus	Pseudomonas phage D3
3	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Septima3virus	Pseudomonas phage vB_PaeS_SCH_Ab26
8	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Podoviridae	Autographivirinae	unclassified Autographivirinae	Ralstonia phage RSB2
8	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Enterobacteria phage HK542
1	Viruses	dsDNA viruses, no RNA stage	Baculoviridae	Alphabaculovirus	unclassified Alphabaculovirus	Adoxophyes orana nucleopolyhedrovirus
3	Viruses	dsDNA viruses, no RNA stage	Baculoviridae	Betabaculovirus	Agrotis segetum granulovirus
3	Viruses	dsDNA viruses, no RNA stage	unclassified dsDNA viruses	unclassified archaeal dsDNA viruses	Haloviruses	Halovirus HHTV-2
4	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae	Iodobacteriophage phiPLPE
27	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Lambdavirus	unclassified Lambda-like viruses	Enterobacteria phage mEp235
29	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Mycobacterium phage Murphy
1	Viruses	Retro-transcribing viruses	Retroviridae	Orthoretrovirinae	Alpharetrovirus	UR2 sarcoma virus
3	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Che8virus	Mycobacterium phage Pacc40
7	Viruses	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Closteroviridae	Closterovirus	unclassified Closterovirus	Rose leaf rosette-associated virus
2	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Bclasvirinae	Pg1virus	Mycobacterium phage Newman
1	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Lactobacillus phage LL-H
2	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Podoviridae	G7cvirus	Escherichia phage vB_EcoP_PhAPEC7
11	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Bacteroides phage B40-8
2	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae	Peduovirinae	Hp1virus	Haemophilus phage HP2
22	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae	Pseudomonas phage phiPsa374
13	Viruses	dsDNA viruses, no RNA stage	Baculoviridae	Alphabaculovirus	Spodoptera litura nucleopolyhedrovirus
15	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Lactococcus phage P087
10	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae	Peduovirinae	P2virus	Burkholderia virus phi52237
7	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Staphylococcus phage StauST398-2
4	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Streptococcus phage phi3396
36	Viruses	unclassified bacterial viruses	Geobacillus virus E2
5	Viruses	dsDNA viruses, no RNA stage	unclassified dsDNA phages	Loktanella phage pCB2051-A
3	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae	Salmonella phage vB_SalM_SJ3
21	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Pseudomonas phage PAJU2
36	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae	Cronobacter phage CR5
34	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Podoviridae	Phieco32virus	unclassified Phieco32likevirus	Cronobacter phage vB_CsaP_GAP52
5	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Bacillus phage vB_BtS_BMBtp3
80	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae	Prochlorococcus phage P-SSM7
160	Viruses	dsDNA viruses, no RNA stage	Phycodnaviridae	Prymnesiovirus	unclassified Prymnesiovirus	Phaeocystis globosa virus
2	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Pseudomonas phage JBD30
6	Viruses	dsDNA viruses, no RNA stage	Herpesvirales	Herpesviridae	Alphaherpesvirinae	Varicellovirus	Equid alphaherpesvirus 9
9	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Podoviridae	Autographivirinae	T7virus	Pseudomonas phage phiIBB-PF7A
33	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae	Tevenvirinae	T4virus	Synechococcus phage ACG-2014g
27	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Cyanophage PSS2
2	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Podoviridae	N4virus	unclassified N4likevirus	Vibrio phage JA-1
20	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Phicbkvirus	Caulobacter virus Swift
3	Viruses	dsDNA viruses, no RNA stage	Herpesvirales	Herpesviridae	Gammaherpesvirinae	Macavirus	Alcelaphine gammaherpesvirus 1
1	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae	Cp8virus	Campylobacter phage CP30A
13	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Podoviridae	Autographivirinae	T7virus	Vibrio phage ICP3
5	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Mycobacterium phage Dori
4	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Guernseyvirinae	Sp31virus	Salmonella phage FSL SP-031
12	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Cellulophaga phage phi39:1
26	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae	Cronobacter phage ENT47670
9	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae	Cellulophaga phage phiSM
1	Viruses	dsDNA viruses, no RNA stage	Adenoviridae	Aviadenovirus	Turkey aviadenovirus B	Turkey adenovirus 1
9	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae	Vequintavirinae	Escherichia phage FFH2
32	Viruses	dsDNA viruses, no RNA stage	unclassified dsDNA phages	Cyanophage KBS-S-2A
1	Viruses	dsDNA viruses, no RNA stage	Herpesvirales	Herpesviridae	Gammaherpesvirinae	Rhadinovirus	Murid gammaherpesvirus 4
6	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae	Tevenvirinae	T4virus	Serratia phage PS2
4	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Liefievirus	Mycobacterium phage Liefie
7	Viruses	dsDNA viruses, no RNA stage	unclassified dsDNA phages	Synechococcus phage S-CBP2
8	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae	Tevenvirinae	S16virus	Salmonella phage vB_SenMS16
3	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Listeria phage 2389
29	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Rhodobacter phage RC1
29	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Mycobacterium phage Contagion
5	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Barnyardvirus	Mycobacterium phage Konstantine
6	Viruses	dsDNA viruses, no RNA stage	unclassified dsDNA phages	Rhodobacter phage RcapNL
3	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae	Spounavirinae	unclassified Spounavirinae	Brochothrix phage A9
31	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae	Tevenvirinae	T4virus	Escherichia phage vB_EcoM_PhAPEC2
9	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae	Vhmlvirus	Vibrio phage VHML
27	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae	Yersinia phage phiR1-37
12	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Podoviridae	Autographivirinae	T7virus	Vibriophage VP4
31	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae	Peduovirinae	P2virus	Ralstonia phage RSY1
22	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Podoviridae	P22virus	Enterobacteria phage ST104
8	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Phietavirus	Staphylococcus phage 80alpha
5	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae	Cp220virus	Campylobacter virus CPt10
2	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Podoviridae	Una961virus	Helicobacter phage 1961P
40	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae	Synechococcus phage Syn19
8	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Phietavirus	Staphylococcus phage 53
4	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Mycobacterium phage Adzzy
5	Viruses	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Closteroviridae	Crinivirus	Blackberry yellow vein-associated virus
8	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Podoviridae	Autographivirinae	Klebsiella phage KP32
44	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae	Pseudomonas phage PaBG
2	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	L5virus	Mycobacterium phage U2
136	Viruses	dsDNA viruses, no RNA stage	Phycodnaviridae	Chlorovirus	Paramecium bursaria Chlorella virus FR483
6	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae	Clostridium phage phiMMP02
2	Viruses	dsDNA viruses, no RNA stage	Herpesvirales	Herpesviridae	Alphaherpesvirinae	Simplexvirus	Human alphaherpesvirus 2
26	Viruses	dsDNA viruses, no RNA stage	Iridoviridae	Iridovirus	Invertebrate iridescent virus 22
4	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Phifelvirus	Enterococcus phage phiFL3A
9	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Enterobacteria phage ES18
4	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae	Spounavirinae	unassigned Spounavirinae	Lactobacillus virus LP65
8	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Pclasvirinae	Fishburnevirus	Mycobacterium phage Donovan
27	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae	Bxz1virus	Mycobacterium phage Nappy
9	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Lambdavirus	unclassified Lambda-like viruses	Enterobacteria phage HK633
6	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Podoviridae	Autographivirinae	unclassified phiKMV-like phages	Xylella phage Paz
5	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Lactobacillus phage phiAT3
29	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Mycobacterium phage Phaux
5	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Geobacillus phage GBSV1
25	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae	Tevenvirinae	T4virus	Synechococcus phage ACG-2014h
2	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Podoviridae	Liberibacter phage SC2
38	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae	Psychrobacter phage pOW20-A
25	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Cjw1virus	Mycobacterium virus 244
15	Viruses	dsDNA viruses, no RNA stage	Poxviridae	Chordopoxvirinae	Orthopoxvirus	Monkeypox virus Zaire-96-I-16
4	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Podoviridae	Autographivirinae	T7virus	Salmonella phage Vi06
35	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	E125virus	Burkholderia virus phiE125
4	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae	Bdellovibrio phage phi1422
24	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Podoviridae	Podovirus Lau218
3	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae	Dickeya phage RC-2014
1	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Pa6virus	Propionibacterium phage P100_A
3	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Mycobacterium phage Crossroads
