NC_011165|Pseudomonas phage LBL3|
YP_002154146.1|1|
YP_002154147.1|4|
YP_002154148.1|2|
YP_002154149.1|1|
YP_002154150.1|1|
YP_002154151.1|1|
YP_002154152.1|2|
YP_002154153.1|1|
YP_002154154.1|1|
YP_004221739.1|1|
YP_002154155.1|1|
YP_002154156.1|1|
YP_002154157.1|1|
YP_002154158.1|1|
YP_002154159.1|2|
YP_002154160.1|3|
YP_002154161.1|2|
YP_002154162.1|1|
YP_002154163.1|1|
YP_002154164.1|1|
YP_002154165.1|1|
YP_002154166.1|1|
YP_002154167.1|1|
YP_002154168.1|1|
YP_002154169.1|1|
YP_002154170.1|1|
YP_002154171.1|1|
YP_002154172.1|2|
YP_002154173.1|1|
YP_002154174.1|2|
YP_002154175.1|1|
YP_002154176.1|1|
YP_002154177.1|1|
YP_002154178.1|1|
YP_002154179.1|1|
YP_002154180.1|1|
YP_002154181.1|1|
YP_002154182.1|1|
YP_002154183.1|1|
YP_002154184.1|2|
YP_002154185.1|2|
YP_002154186.1|1|
YP_002154187.1|4|
YP_002154188.1|1|
YP_002154189.1|3|
YP_002154190.1|1|
YP_002154191.1|2|
YP_002154192.1|1|
YP_002154193.1|1|
YP_002154194.1|2|
YP_002154195.1|1|
YP_002154196.1|5|
YP_002154197.1|1|
YP_002154198.1|11|
YP_002154199.1|1|
YP_002154200.1|2|
YP_002154201.1|1|
YP_002154202.1|2|
YP_002154203.1|1|
YP_002154204.1|1|
YP_002154205.1|1|
YP_002154206.1|1|
YP_002154207.1|1|
YP_002154208.1|1|
YP_002154209.1|1|
YP_002154210.1|1|
YP_002154211.1|1|
YP_002154212.1|2|
YP_002154213.1|1|
YP_002154214.1|1|
YP_002154215.1|1|
YP_002154216.1|1|
YP_002154217.1|1|
YP_002154218.1|1|
YP_002154219.1|1|
YP_002154220.1|1|
YP_002154221.1|1|
YP_002154222.1|1|
YP_002154223.1|0|
YP_002154224.1|1|
YP_002154225.1|1|
YP_002154226.1|2|
YP_002154227.1|1|
YP_002154228.1|1|
YP_002154229.1|1|
YP_002154230.1|1|
YP_002154231.1|0|
YP_002154232.1|0|
*
NC_019503|Escherichia phage ime09|
YP_007004383.1|0|
YP_007004384.1|0|
YP_007004385.1|0|
YP_007004386.1|0|
YP_007004387.1|0|
YP_007004388.1|0|
YP_007004389.1|0|
YP_007004390.1|0|
YP_007004391.1|0|
YP_007004392.1|0|
YP_007004393.1|0|
YP_007004394.1|0|
YP_007004395.1|0|
YP_007004396.1|0|
YP_007004397.1|0|
YP_007004398.1|0|
YP_007004399.1|0|
YP_007004400.1|0|
YP_007004401.1|0|
YP_007004402.1|0|
YP_007004403.1|0|
YP_007004404.1|0|
YP_007004405.1|0|
YP_007004406.1|0|
YP_007004407.1|0|
YP_007004408.1|0|
YP_007004409.1|0|
YP_007004410.1|0|
YP_007004411.1|0|
YP_007004412.1|0|
YP_007004413.1|0|
YP_007004414.1|0|
YP_007004415.1|0|
YP_007004416.1|0|
YP_007004417.1|0|
YP_007004418.1|0|
YP_007004419.1|0|
YP_007004420.1|0|
YP_007004421.1|0|
YP_007004422.1|0|
YP_007004423.1|0|
YP_007004424.1|0|
YP_007004425.1|0|
YP_007004426.1|0|
YP_007004427.1|0|
YP_007004428.1|0|
YP_007004429.1|0|
YP_007004430.1|0|
YP_007004431.1|0|
YP_007004432.1|0|
YP_007004433.1|0|
YP_007004434.1|0|
YP_007004435.1|0|
YP_007004436.1|0|
YP_007004437.1|0|
YP_007004438.1|0|
YP_007004439.1|0|
YP_007004440.1|0|
YP_007004441.1|0|
YP_007004442.1|0|
YP_007004443.1|0|
YP_007004444.1|0|
YP_007004445.1|0|
YP_007004446.1|0|
YP_007004447.1|0|
YP_007004448.1|0|
YP_007004449.1|0|
YP_007004450.1|0|
YP_007004451.1|0|
YP_007004452.1|0|
YP_007004453.1|0|
YP_007004454.1|0|
YP_007004455.1|0|
YP_007004456.1|0|
YP_007004457.1|0|
YP_007004458.1|0|
YP_007004459.1|0|
YP_007004460.1|0|
YP_007004461.1|0|
YP_007004462.1|0|
YP_007004463.1|0|
YP_007004464.1|0|
YP_007004465.1|0|
YP_007004466.1|0|
YP_007004467.1|0|
YP_007004468.1|0|
YP_007004469.1|0|
YP_007004470.1|0|
YP_007004471.1|0|
YP_007004472.1|0|
YP_007004473.1|0|
YP_007004474.1|0|
YP_007004475.1|0|
YP_007004476.1|0|
YP_007004477.1|0|
YP_007004478.1|0|
YP_007004479.1|0|
YP_007004480.1|0|
YP_007004481.1|0|
YP_007004482.1|0|
YP_007004483.1|0|
YP_007004484.1|0|
YP_007004485.1|0|
YP_007004486.1|0|
YP_007004487.1|0|
YP_007004488.1|0|
YP_007004489.1|0|
YP_007004490.1|0|
YP_007004491.1|0|
YP_007004492.1|0|
YP_007004493.1|0|
YP_007004494.1|0|
YP_007004495.1|0|
YP_007004496.1|0|
YP_007004497.1|0|
YP_007004498.1|0|
YP_007004499.1|0|
YP_007004500.1|0|
YP_007004501.1|0|
YP_007004502.1|0|
YP_007004503.1|0|
YP_007004504.1|0|
YP_007004505.1|0|
YP_007004506.1|0|
YP_007004507.1|0|
YP_007004508.1|0|
YP_007004509.1|0|
YP_007004510.1|0|
YP_007004511.1|0|
YP_007004512.1|0|
YP_007004513.1|0|
YP_007004514.1|0|
YP_007004515.1|0|
YP_007004516.1|0|
YP_007004517.1|0|
YP_007004518.1|0|
YP_007004519.1|0|
YP_007004520.1|0|
YP_007004521.1|0|
YP_007004522.1|0|
YP_007004523.1|0|
YP_007004524.1|0|
YP_007004525.1|0|
YP_007004526.1|0|
YP_007004527.1|0|
YP_007004528.1|0|
YP_007004529.1|0|
YP_007004530.1|0|
YP_007004531.1|0|
YP_007004532.1|0|
YP_007004533.1|0|
YP_007004534.1|0|
YP_007004535.1|0|
YP_007004536.1|0|
YP_007004537.1|0|
YP_007004538.1|0|
YP_007004539.1|0|
YP_007004540.1|0|
YP_007004541.1|0|
YP_007004542.1|0|
YP_007004543.1|0|
YP_007004544.1|0|
YP_007004545.1|0|
YP_007004546.1|0|
YP_007004547.1|0|
YP_007004548.1|0|
YP_007004549.1|0|
YP_007004550.1|0|
YP_007004551.1|0|
YP_007004552.1|0|
YP_007004553.1|0|
YP_007004554.1|0|
YP_007004555.1|0|
YP_007004556.1|0|
YP_007004557.1|0|
YP_007004558.1|0|
YP_007004559.1|0|
YP_007004560.1|0|
YP_007004561.1|0|
YP_007004562.1|0|
YP_007004563.1|0|
YP_007004564.1|0|
YP_007004565.1|0|
YP_007004566.1|0|
YP_007004567.1|0|
YP_007004568.1|0|
YP_007004569.1|0|
YP_007004570.1|0|
YP_007004571.1|0|
YP_007004572.1|0|
YP_007004573.1|0|
YP_007004574.1|0|
YP_007004575.1|0|
YP_007004576.1|0|
YP_007004577.1|0|
YP_007004578.1|0|
YP_007004579.1|0|
YP_007004580.1|0|
YP_007004581.1|0|
YP_007004582.1|0|
YP_007004583.1|0|
YP_007004584.1|0|
YP_007004585.1|0|
YP_007004586.1|0|
YP_007004587.1|0|
YP_007004588.1|1|
YP_007004589.1|0|
YP_007004590.1|0|
YP_007004591.1|0|
YP_007004592.1|0|
YP_007004593.1|0|
YP_007004594.1|0|
YP_007004595.1|0|
YP_007004596.1|0|
YP_007004597.1|0|
YP_007004598.1|0|
YP_007004599.1|0|
YP_007004600.1|0|
YP_007004601.1|0|
YP_007004602.1|0|
YP_007004603.1|0|
YP_007004604.1|1|
YP_007004605.1|0|
YP_007004606.1|0|
YP_007004607.1|3|
YP_007004608.1|0|
YP_007004609.1|0|
YP_007004610.1|0|
YP_007004611.1|0|
YP_007004612.1|0|
YP_007004613.1|0|
YP_007004614.1|0|
YP_007004615.1|0|
YP_007004616.1|0|
YP_007004617.1|0|
YP_007004618.1|0|
YP_007004619.1|0|
YP_007004620.1|0|
YP_007004621.1|0|
YP_007004622.1|0|
YP_007004623.1|1|
YP_007004624.1|0|
YP_007004625.1|0|
YP_007004626.1|0|
YP_007004627.1|0|
YP_007004628.1|0|
YP_007004629.1|0|
YP_007004630.1|0|
YP_007004631.1|0|
YP_007004632.1|0|
YP_007004633.1|0|
YP_007004634.1|0|
YP_007004635.1|0|
YP_007004636.1|9|
YP_007004637.1|0|
YP_007004638.1|0|
YP_007004639.1|0|
YP_007004640.1|0|
YP_007004641.1|0|
YP_007004642.1|0|
YP_007004643.1|0|
YP_007004644.1|0|
YP_007004645.1|0|
YP_007004646.1|0|
YP_007004647.1|0|
YP_007004648.1|0|
YP_007004649.1|0|
YP_007004650.1|0|
*
NC_024625|Peridroma alphabaculovirus|
YP_009049827.1|0|
YP_009049828.1|0|
YP_009049829.1|1|
YP_009049830.1|0|
YP_009049831.1|0|
YP_009049832.1|0|
YP_009049833.1|0|
YP_009049834.1|0|
YP_009049835.1|0|
YP_009049836.1|0|
YP_009049837.1|0|
YP_009049838.1|0|
YP_009049839.1|0|
YP_009049840.1|0|
YP_009049841.1|0|
YP_009049842.1|0|
YP_009049843.1|0|
YP_009049844.1|0|
YP_009049845.1|0|
YP_009049846.1|0|
YP_009049847.1|0|
YP_009049848.1|0|
YP_009049849.1|0|
YP_009049850.1|0|
YP_009049851.1|0|
YP_009049852.1|0|
YP_009049853.1|0|
YP_009049854.1|0|
YP_009049855.1|0|
YP_009049856.1|0|
YP_009049857.1|0|
YP_009049858.1|0|
YP_009049859.1|0|
YP_009049860.1|0|
YP_009049861.1|0|
YP_009049862.1|0|
YP_009049863.1|0|
YP_009049864.1|0|
YP_009049865.1|0|
YP_009049866.1|0|
YP_009049867.1|0|
YP_009049868.1|1|
YP_009049869.1|0|
YP_009049870.1|0|
YP_009049871.1|0|
YP_009049872.1|0|
YP_009049873.1|0|
YP_009049874.1|0|
YP_009049875.1|0|
YP_009049876.1|0|
YP_009049877.1|0|
YP_009049878.1|0|
YP_009049879.1|0|
YP_009049880.1|0|
YP_009049881.1|0|
YP_009049882.1|0|
YP_009049883.1|0|
YP_009049884.1|0|
YP_009049885.1|0|
YP_009049886.1|0|
YP_009049887.1|0|
YP_009049888.1|0|
YP_009049889.1|0|
YP_009049890.1|0|
YP_009049891.1|0|
YP_009116628.1|0|
YP_009049892.1|0|
YP_009049893.1|0|
YP_009049894.1|0|
YP_009049895.1|0|
YP_009049896.1|0|
YP_009049897.1|0|
YP_009049898.1|0|
YP_009049899.1|0|
YP_009049900.1|0|
YP_009049901.1|0|
YP_009049902.1|0|
YP_009049903.1|0|
YP_009049904.1|0|
YP_009049905.1|0|
YP_009049906.1|0|
YP_009049907.1|0|
YP_009049908.1|0|
YP_009049909.1|0|
YP_009049910.1|0|
YP_009049911.1|0|
YP_009049912.1|0|
YP_009049913.1|0|
YP_009049914.1|0|
YP_009049915.1|0|
YP_009049916.1|0|
YP_009049917.1|0|
YP_009049918.1|0|
YP_009049919.1|0|
YP_009049920.1|0|
YP_009049921.1|0|
YP_009049922.1|0|
YP_009049923.1|0|
YP_009049924.1|0|
YP_009049925.1|0|
YP_009049926.1|0|
YP_009049927.1|0|
YP_009049928.1|0|
YP_009049929.1|0|
YP_009049930.1|1|
YP_009049931.1|0|
YP_009049932.1|0|
YP_009049933.1|0|
YP_009049934.1|0|
YP_009049935.1|0|
YP_009049936.1|0|
YP_009049937.1|0|
YP_009049938.1|0|
YP_009049939.1|0|
YP_009049940.1|0|
YP_009049941.1|0|
YP_009049942.1|0|
