>NC_011165	Pseudomonas phage LBL3
YP_002154146.1	1
YP_002154147.1	4
YP_002154148.1	2
YP_002154149.1	1
YP_002154150.1	1
YP_002154151.1	1
YP_002154152.1	2
YP_002154153.1	1
YP_002154154.1	1
YP_004221739.1	1
YP_002154155.1	1
YP_002154156.1	1
YP_002154157.1	1
YP_002154158.1	1
YP_002154159.1	2
YP_002154160.1	3
YP_002154161.1	2
YP_002154162.1	1
YP_002154163.1	1
YP_002154164.1	1
YP_002154165.1	1
YP_002154166.1	1
YP_002154167.1	1
YP_002154168.1	1
YP_002154169.1	1
YP_002154170.1	1
YP_002154171.1	1
YP_002154172.1	2
YP_002154173.1	1
YP_002154174.1	2
YP_002154175.1	1
YP_002154176.1	1
YP_002154177.1	1
YP_002154178.1	1
YP_002154179.1	1
YP_002154180.1	1
YP_002154181.1	1
YP_002154182.1	1
YP_002154183.1	1
YP_002154184.1	2
YP_002154185.1	2
YP_002154186.1	1
YP_002154187.1	4
YP_002154188.1	1
YP_002154189.1	3
YP_002154190.1	1
YP_002154191.1	2
YP_002154192.1	1
YP_002154193.1	1
YP_002154194.1	2
YP_002154195.1	1
YP_002154196.1	5
YP_002154197.1	1
YP_002154198.1	11
YP_002154199.1	1
YP_002154200.1	2
YP_002154201.1	1
YP_002154202.1	2
YP_002154203.1	1
YP_002154204.1	1
YP_002154205.1	1
YP_002154206.1	1
YP_002154207.1	1
YP_002154208.1	1
YP_002154209.1	1
YP_002154210.1	1
YP_002154211.1	1
YP_002154212.1	2
YP_002154213.1	1
YP_002154214.1	1
YP_002154215.1	1
YP_002154216.1	1
YP_002154217.1	1
YP_002154218.1	1
YP_002154219.1	1
YP_002154220.1	1
YP_002154221.1	1
YP_002154222.1	1
YP_002154224.1	1
YP_002154225.1	1
YP_002154226.1	2
YP_002154227.1	1
YP_002154228.1	1
YP_002154229.1	1
YP_002154230.1	1
>NC_019503	Escherichia phage ime09
YP_007004588.1	1
YP_007004604.1	1
YP_007004607.1	3
YP_007004623.1	1
YP_007004636.1	9
>NC_024625	Peridroma alphabaculovirus
YP_009049829.1	1
YP_009049868.1	1
YP_009049930.1	1
YP_009049963.1	12
>NC_002321	Staphylococcus phage PVL
NP_058453.1	1
NP_058454.1	6
>NC_022987	Xylella phage Prado
YP_008859402.1	1
YP_008859432.1	1
YP_008859434.1	2
>NC_023737	Mycobacterium phage Pleione
YP_009017880.1	1
YP_009017908.1	1
YP_009017953.1	14
YP_009018006.1	7
>NC_021534	Vibrio phage pYD38-A
YP_008126189.1	1
YP_008126192.1	2
YP_008126208.1	1
YP_008126220.1	1
YP_008126226.1	11
YP_008126236.1	4
>NC_002484	Pseudomonas phage D3
NP_061498.1	4
NP_061500.1	2
NP_061501.1	3
NP_061524.1	10
NP_061531.1	1
NP_061547.1	2
NP_061570.1	13
>NC_024381	Pseudomonas phage vB_PaeS_SCH_Ab26
YP_009044352.1	1
YP_009044363.1	2
>NC_023736	Ralstonia phage RSB2
YP_009017747.1	1
YP_009017750.1	4
YP_009017751.1	1
YP_009017758.1	1
YP_009017771.1	1
>NC_019769	Enterobacteria phage HK542
YP_007151754.1	1
YP_007151777.1	6
YP_007151783.1	1
>NC_011423	Adoxophyes orana nucleopolyhedrovirus
YP_002300619.1	1
>NC_005839	Agrotis segetum granulovirus
YP_006341.1	1
YP_006327.1	1
YP_006228.1	1
>NC_021340	Halovirus HHTV-2
YP_008060330.1	3
>NC_011142	Iodobacteriophage phiPLPE
YP_002128438.1	1
YP_002128452.1	1
YP_002128476.1	1
YP_002128493.1	1
>NC_019708	Enterobacteria phage mEp235
YP_007111578.1	4
YP_007111579.1	4
YP_007111585.1	1
YP_007111597.1	1
YP_007111607.1	11
YP_007111621.1	5
YP_007111629.1	1
>NC_021305	Mycobacterium phage Murphy
YP_008051507.1	1
YP_008051560.1	1
YP_008051578.1	4
YP_008051579.1	1
YP_008051580.1	6
YP_008051589.1	1
YP_008051591.1	15
>NC_001618	UR2 sarcoma virus
NP_042289.1	1
>NC_011287	Mycobacterium phage Pacc40
YP_002241637.1	1
YP_002241644.1	2
>NC_024906	Rose leaf rosette-associated virus
YP_009058932.1	7
>NC_021310	Mycobacterium phage Newman
YP_008052079.1	1
YP_008052099.1	1
>NC_009554	Lactobacillus phage LL-H
YP_001285924.1	1
>NC_024790	Escherichia phage vB_EcoP_PhAPEC7
YP_009056155.1	2
>NC_011222	Bacteroides phage B40-8
YP_002221541.1	1
YP_002221554.1	10
>NC_003315	Haemophilus phage HP2
NP_536807.1	1
NP_536821.1	1
>NC_023601	Pseudomonas phage phiPsa374
YP_009009304.1	2
YP_009009310.1	15
YP_009009327.1	1
YP_009009380.1	2
YP_009009427.1	1
YP_009009438.1	1
>NC_003102	Spodoptera litura nucleopolyhedrovirus
NP_258271.1	1
NP_258291.1	11
NP_258331.1	1
>NC_012663	Lactococcus phage P087
YP_002875699.1	15
>NC_007145	Burkholderia virus phi52237
YP_293748.1	1
YP_293751.1	4
YP_293753.1	2
YP_293754.2	1
YP_293728.1	1
YP_293731.1	1
>NC_021323	Staphylococcus phage StauST398-2
YP_008058793.1	3
YP_008058796.1	1
YP_008058800.1	1
YP_008058802.1	2
>NC_009018	Streptococcus phage phi3396
YP_001039907.1	3
YP_001039909.1	1
>NC_009552	Geobacillus virus E2
YP_001285807.1	1
YP_001285809.1	1
YP_001285832.1	4
YP_001285846.1	9
YP_001285850.1	1
YP_001285860.1	5
YP_001285862.1	15
>NC_020853	Loktanella phage pCB2051-A
YP_007674921.1	1
YP_007674964.1	3
YP_007674972.1	1
>NC_024122	Salmonella phage vB_SalM_SJ3
YP_009030335.1	1
YP_009030398.1	2
>NC_011373	Pseudomonas phage PAJU2
YP_002284358.1	10
YP_002284359.1	1
YP_002284361.1	4
YP_002284365.1	2
YP_002284381.1	2
YP_002284407.1	1
YP_002284412.1	1
>NC_021531	Cronobacter phage CR5
YP_008125829.1	8
YP_008125847.1	14
YP_008125857.1	1
YP_008125867.1	13
>NC_019402	Cronobacter phage vB_CsaP_GAP52
YP_006987652.1	1
YP_006987653.1	1
YP_006987658.1	1
YP_006987680.1	1
YP_006987689.1	1
YP_006987708.1	5
YP_006987717.1	2
YP_006987746.1	13
YP_006987748.1	1
YP_006987749.1	7
YP_006987756.1	1
>NC_028748	Bacillus phage vB_BtS_BMBtp3
YP_009193993.1	1
YP_009194042.2	1
YP_009229830.1	3
>NC_015290	Prochlorococcus phage P-SSM7
YP_004324864.1	1
YP_004324871.1	1
YP_004324886.1	3
YP_004324887.1	4
YP_004324920.1	1
YP_004324921.1	1
YP_004324925.1	1
YP_004324934.1	1
YP_004324940.1	9
YP_004324947.1	1
YP_004324948.1	1
YP_004324951.1	4
YP_004324959.1	1
YP_004324962.1	1
YP_004324968.1	1
YP_004324978.1	16
YP_004325002.1	7
YP_004325005.1	2
YP_004325009.1	2
YP_004325011.1	7
YP_004325021.1	8
YP_004325024.1	1
YP_004325028.1	1
YP_004325034.1	2
YP_004325054.1	1
YP_004325055.1	1
YP_004325064.1	1
>NC_021312	Phaeocystis globosa virus
YP_008052326.1	1
YP_008052370.1	1
YP_008052383.1	1
YP_008052384.1	1
YP_008052403.1	11
YP_008052413.1	6
YP_008052426.1	1
YP_008052429.1	9
YP_008052440.1	6
YP_008052446.1	7
YP_008052508.1	1
YP_008052518.1	1
YP_008052526.1	4
YP_008052559.1	1
YP_008052571.1	19
YP_008052581.1	16
YP_008052594.1	4
YP_008052626.1	1
YP_008052628.1	62
YP_008052638.1	2
YP_008052738.1	4
YP_008052747.1	1
>NC_020198	Pseudomonas phage JBD30
YP_007392339.1	1
YP_007392362.1	1
>NC_011644	Equid alphaherpesvirus 9
YP_002333542.2	6
>NC_015264	Pseudomonas phage phiIBB-PF7A
YP_004306321.1	1
YP_004306334.1	4
YP_004306337.1	1
YP_004306349.1	1
YP_004306353.1	1
YP_004306358.1	1
>NC_026924	Synechococcus phage ACG-2014g
YP_009133599.1	1
YP_009133643.1	1
YP_009133644.1	1
YP_009133656.1	1
YP_009133658.1	2
YP_009133663.1	2
YP_009133664.1	1
YP_009133666.1	4
YP_009133671.1	1
YP_009133675.1	1
YP_009133709.1	1
YP_009133714.1	1
YP_009133718.1	2
YP_009133731.1	1
YP_009133740.1	2
YP_009133760.1	1
YP_009133762.1	10
>NC_013021	Cyanophage PSS2
YP_003084146.1	1
YP_003084155.1	1
YP_003084216.1	1
YP_003084217.1	4
YP_003084218.1	2
YP_003084253.1	2
YP_003084257.1	15
YP_003084270.1	1
>NC_021540	Vibrio phage JA-1
YP_008126828.1	1
YP_008126830.1	1
>NC_019411	Caulobacter virus Swift
YP_006989806.1	1
YP_006989815.1	1
YP_006989840.1	3
YP_006989841.1	3
YP_006989847.1	1
YP_006989853.1	2
YP_006989861.1	1
YP_006989868.1	1
YP_006989873.1	3
YP_006989908.1	3
YP_006989931.1	1
>NC_002531	Alcelaphine gammaherpesvirus 1
NP_065544.1	3
>NC_018861	Campylobacter phage CP30A
YP_006908164.1	1
>NC_015159	Vibrio phage ICP3
YP_004251249.1	1
YP_004251261.1	6
YP_004251265.1	2
YP_004251274.1	1
YP_004251283.1	1
YP_004251296.1	2
>NC_023703	Mycobacterium phage Dori
YP_009013569.1	1
YP_009013589.1	1
YP_009013592.1	2
YP_009013636.1	1
>NC_021775	Salmonella phage FSL SP-031
YP_008239599.1	1
YP_008239617.1	2
YP_008239631.1	1
>NC_021804	Cellulophaga phage phi39:1
YP_008242157.1	1
YP_008242178.1	1
YP_008242194.1	9
YP_008242195.1	1
>NC_019927	Cronobacter phage ENT47670
YP_007237578.1	17
YP_007237580.1	2
YP_007237592.1	3
YP_007237597.1	1
YP_007237600.1	3
>NC_020860	Cellulophaga phage phiSM
YP_007675684.1	1
YP_007675727.1	7
YP_007675734.1	1
>NC_014564	Turkey adenovirus 1
YP_003933572.1	1
>NC_024134	Escherichia phage FFH2
YP_009030986.1	1
YP_009031119.1	1
YP_009031124.1	5
YP_009031126.1	2
>NC_020854	Cyanophage KBS-S-2A
YP_007674975.1	2
YP_007674978.1	1
YP_007674984.1	16
YP_007674985.1	3
YP_007674999.1	1
YP_007675015.1	6
YP_007675025.1	1
YP_007675032.1	2
>NC_001826	Murid gammaherpesvirus 4
NP_044915.1	1
>NC_024121	Serratia phage PS2
YP_009030153.1	1
YP_009030166.1	1
YP_009030226.1	1
YP_009030272.1	1
YP_009030290.1	2
>NC_023705	Mycobacterium phage Liefie
YP_009013761.1	4
>NC_025455	Synechococcus phage S-CBP2
YP_009103128.1	4
YP_009103130.1	1
YP_009103140.1	1
YP_009103160.1	1
>NC_020416	Salmonella phage vB_SenMS16
YP_007501078.1	1
YP_007501130.1	1
YP_007501146.1	1
YP_007501199.1	1
YP_007501244.1	1
YP_007501263.1	1
YP_007501266.1	2
>NC_003291	Listeria phage 2389
NP_511033.1	1
NP_511035.1	2
>NC_020839	Rhodobacter phage RC1
YP_007673202.1	6
YP_007673203.1	1
YP_007673239.1	21
YP_007673240.1	1
>NC_022065	Mycobacterium phage Contagion
YP_008410026.1	1
YP_008410044.1	1
YP_008410095.1	1
YP_008410113.1	3
YP_008410114.1	1
YP_008410115.1	6
YP_008410126.1	1
YP_008410128.1	15
>NC_011292	Mycobacterium phage Konstantine
YP_002242137.1	5
>NC_020489	Rhodobacter phage RcapNL
YP_007518386.1	1
YP_007518387.1	2
YP_007518421.1	1
